"T","blastomere","gini","tree"
8.0595952,"A",0.612813394012534,"sensitivity_63-37"
8.0595952,"B",0.61853679516785,"sensitivity_63-37"
8.1920446,"A",0.627547164526034,"sensitivity_63-37"
8.1920446,"B",0.63117848080096,"sensitivity_63-37"
8.324494,"A",0.640823854873984,"sensitivity_63-37"
8.324494,"B",0.640112045044753,"sensitivity_63-37"
8.4569434,"A",0.65168917970624,"sensitivity_63-37"
8.4569434,"B",0.647833157643965,"sensitivity_63-37"
8.5893928,"A",0.660933809837832,"sensitivity_63-37"
8.5893928,"B",0.653067841758048,"sensitivity_63-37"
8.7218422,"A",0.669036267012473,"sensitivity_63-37"
8.7218422,"B",0.659318539978202,"sensitivity_63-37"
8.8542916,"A",0.676129685618917,"sensitivity_63-37"
8.8542916,"B",0.665401222020459,"sensitivity_63-37"
8.986741,"A",0.682628585666877,"sensitivity_63-37"
8.986741,"B",0.669662541818706,"sensitivity_63-37"
9.1191904,"A",0.688139950135057,"sensitivity_63-37"
9.1191904,"B",0.674478419071225,"sensitivity_63-37"
9.2516398,"A",0.692548755552578,"sensitivity_63-37"
9.2516398,"B",0.679536193056306,"sensitivity_63-37"
9.3840892,"A",0.69722326083039,"sensitivity_63-37"
9.3840892,"B",0.684451983250294,"sensitivity_63-37"
9.5165386,"A",0.70174167162572,"sensitivity_63-37"
9.5165386,"B",0.689097805421002,"sensitivity_63-37"
9.648988,"A",0.706376468138786,"sensitivity_63-37"
9.648988,"B",0.692651906597398,"sensitivity_63-37"
9.7814374,"A",0.710356226714026,"sensitivity_63-37"
9.7814374,"B",0.696399435000876,"sensitivity_63-37"
9.9138868,"A",0.714436104365777,"sensitivity_63-37"
9.9138868,"B",0.700220603618883,"sensitivity_63-37"
10.0463362,"A",0.71811903873128,"sensitivity_63-37"
10.0463362,"B",0.704587244342925,"sensitivity_63-37"
10.1787856,"A",0.722192805446643,"sensitivity_63-37"
10.1787856,"B",0.708942009738822,"sensitivity_63-37"
10.311235,"A",0.725890661377066,"sensitivity_63-37"
10.311235,"B",0.713399228984051,"sensitivity_63-37"
10.4436844,"A",0.729333495496821,"sensitivity_63-37"
10.4436844,"B",0.717390570393052,"sensitivity_63-37"
10.5761338,"A",0.732445275702883,"sensitivity_63-37"
10.5761338,"B",0.721217063146328,"sensitivity_63-37"
10.7085832,"A",0.735831563910168,"sensitivity_63-37"
10.7085832,"B",0.725035768528098,"sensitivity_63-37"
10.8410326,"A",0.738988935601438,"sensitivity_63-37"
10.8410326,"B",0.728705229758243,"sensitivity_63-37"
10.973482,"A",0.742078277048059,"sensitivity_63-37"
10.973482,"B",0.732660149511546,"sensitivity_63-37"
11.1059314,"A",0.74500506813389,"sensitivity_63-37"
11.1059314,"B",0.736065876573706,"sensitivity_63-37"
11.2383808,"A",0.748020078225375,"sensitivity_63-37"
11.2383808,"B",0.739782508016225,"sensitivity_63-37"
11.3708302,"A",0.7508091788356,"sensitivity_63-37"
11.3708302,"B",0.743125328912566,"sensitivity_63-37"
11.5032796,"A",0.753530082373788,"sensitivity_63-37"
11.5032796,"B",0.746306040047901,"sensitivity_63-37"
11.635729,"A",0.756104658070475,"sensitivity_63-37"
11.635729,"B",0.749408086765797,"sensitivity_63-37"
11.7681784,"A",0.758487627868117,"sensitivity_63-37"
11.7681784,"B",0.752525248258067,"sensitivity_63-37"
11.9006278,"A",0.761232353515398,"sensitivity_63-37"
11.9006278,"B",0.755360085809282,"sensitivity_63-37"
12.0330772,"A",0.763646666451153,"sensitivity_63-37"
12.0330772,"B",0.757870449614027,"sensitivity_63-37"
12.1655266,"A",0.765865502020361,"sensitivity_63-37"
12.1655266,"B",0.760319580697851,"sensitivity_63-37"
12.297976,"A",0.768008657525273,"sensitivity_63-37"
12.297976,"B",0.762585454362261,"sensitivity_63-37"
12.4304254,"A",0.770020018141976,"sensitivity_63-37"
12.4304254,"B",0.764817523330503,"sensitivity_63-37"
12.5628748,"A",0.77185890386335,"sensitivity_63-37"
12.5628748,"B",0.766983177898303,"sensitivity_63-37"
12.6953242,"A",0.773876834211282,"sensitivity_63-37"
12.6953242,"B",0.769004654525827,"sensitivity_63-37"
12.8277736,"A",0.775915513939517,"sensitivity_63-37"
12.8277736,"B",0.770934666712413,"sensitivity_63-37"
12.960223,"A",0.778291780564065,"sensitivity_63-37"
12.960223,"B",0.773018218443746,"sensitivity_63-37"
13.0926724,"A",0.780802434506954,"sensitivity_63-37"
13.0926724,"B",0.775263103320952,"sensitivity_63-37"
13.2251218,"A",0.783167608236354,"sensitivity_63-37"
13.2251218,"B",0.777181878697956,"sensitivity_63-37"
13.3575712,"A",0.785825134671778,"sensitivity_63-37"
13.3575712,"B",0.779369528121629,"sensitivity_63-37"
13.4900206,"A",0.787872953018079,"sensitivity_63-37"
13.4900206,"B",0.781083268976583,"sensitivity_63-37"
7,"A",0,"sensitivity_58-42"
7,"B",0,"sensitivity_58-42"
7.1324494,"A",0.236728201813466,"sensitivity_58-42"
7.1324494,"B",0.221962283208107,"sensitivity_58-42"
7.2648988,"A",0.360780468414328,"sensitivity_58-42"
7.2648988,"B",0.359708135344356,"sensitivity_58-42"
7.3973482,"A",0.444582811684784,"sensitivity_58-42"
7.3973482,"B",0.438891020894022,"sensitivity_58-42"
7.5297976,"A",0.496143279210038,"sensitivity_58-42"
