"blastomere","gini","blast"
"B1",0.495297457661384,"Blastomere A"
"B1",0.501711311805936,"Blastomere A"
"B1",0.504910217324594,"Blastomere A"
"B1",0.504171775414687,"Blastomere A"
"B1",0.483551988586078,"Blastomere A"
"B1",0.502074489632357,"Blastomere A"
"B1",0.492127139527533,"Blastomere A"
"B1",0.499862647476252,"Blastomere A"
"B1",0.503315892385079,"Blastomere A"
"B1",0.495050286955151,"Blastomere A"
"B1",0.503436097147628,"Blastomere A"
"B1",0.502626900292867,"Blastomere A"
"B1",0.493056144212815,"Blastomere A"
"B1",0.502868984063821,"Blastomere A"
"B1",0.498536490958243,"Blastomere A"
"B1",0.498425133775616,"Blastomere A"
"B1",0.498871925156425,"Blastomere A"
"B1",0.493921060819929,"Blastomere A"
"B1",0.494398622168646,"Blastomere A"
"B1",0.506626434486225,"Blastomere A"
"B1",0.495853302336974,"Blastomere A"
"B1",0.510837502894097,"Blastomere A"
"B1",0.509208076917566,"Blastomere A"
"B1",0.493953204088522,"Blastomere A"
"B1",0.50203650934379,"Blastomere A"
"B1",0.492061970365271,"Blastomere A"
"B1",0.497932347462421,"Blastomere A"
"B1",0.496831838667339,"Blastomere A"
"B1",0.494278850830619,"Blastomere A"
"B1",0.500701104182445,"Blastomere A"
"B1",0.504995910551562,"Blastomere A"
"B1",0.497435355039182,"Blastomere A"
"B1",0.500637343262753,"Blastomere A"
"B1",0.494082502680682,"Blastomere A"
"B1",0.498685656436548,"Blastomere A"
"B1",0.498816124237388,"Blastomere A"
"B1",0.508785275481158,"Blastomere A"
"B1",0.488464302843287,"Blastomere A"
"B1",0.498034021463167,"Blastomere A"
"B1",0.499085978954488,"Blastomere A"
"B1",0.495470135644679,"Blastomere A"
"B1",0.500473334940946,"Blastomere A"
"B1",0.493030964433137,"Blastomere A"
"B1",0.49695464887276,"Blastomere A"
"B1",0.487959330277086,"Blastomere A"
"B1",0.490088724027899,"Blastomere A"
"B1",0.494134475744266,"Blastomere A"
"B1",0.513288675802685,"Blastomere A"
"B1",0.500581843960302,"Blastomere A"
"B1",0.510356800427131,"Blastomere A"
"B1",0.50535310379035,"Blastomere A"
"B1",0.492215612600484,"Blastomere A"
"B1",0.507569296695561,"Blastomere A"
