"blastomere","T","major_trajectory","gini","gini_null_median","gini_null_lo","gini_null_hi","diff","diff_hi","blast"
"B2",11.3708302,"Mesoderm",0.737716806757672,0.490051512390321,0.477222270135189,0.502917625104052,0.247665294367351,0.23479918165362,"Blastomere B"
"B2",11.3708302,"Muscle_cells",0.64358007115627,0.490051512390321,0.477222270135189,0.502917625104052,0.153528558765948,0.140662446052217,"Blastomere B"
"B2",11.3708302,"Neural_crest_PNS_glia",0.610130341710232,0.490051512390321,0.477222270135189,0.502917625104052,0.12007882931991,0.107212716606179,"Blastomere B"
"B2",11.3708302,"Neural_crest_PNS_neurons",0.621702595620776,0.490051512390321,0.477222270135189,0.502917625104052,0.131651083230455,0.118784970516724,"Blastomere B"
"B2",11.3708302,"Neuroectoderm_and_glia",0.784191083913414,0.490051512390321,0.477222270135189,0.502917625104052,0.294139571523093,0.281273458809361,"Blastomere B"
"B2",11.3708302,"Olfactory_sensory_neurons",0.725048445530373,0.490051512390321,0.477222270135189,0.502917625104052,0.234996933140052,0.222130820426321,"Blastomere B"
"B2",11.3708302,"White_blood_cells",0.609352204475265,0.490051512390321,0.477222270135189,0.502917625104052,0.119300692084943,0.106434579371212,"Blastomere B"
"B2",11.5032796,"CNS_neurons",0.763984040157871,0.491037645712893,0.47847006732571,0.503735267281972,0.272946394444978,0.260248772875899,"Blastomere B"
"B2",11.5032796,"Definitive_erythroid",0.62683352402746,0.491037645712893,0.47847006732571,0.503735267281972,0.135795878314567,0.123098256745488,"Blastomere B"
"B2",11.5032796,"Endothelium",0.527621072525396,0.491037645712893,0.47847006732571,0.503735267281972,0.0365834268125031,0.0238858052434238,"Blastomere B"
"B2",11.5032796,"Ependymal_cells",0.425661482723401,0.491037645712893,0.47847006732571,0.503735267281972,-0.0653761629894916,-0.078073784558571,"Blastomere B"
"B2",11.5032796,"Epithelium",0.70639903247924,0.491037645712893,0.47847006732571,0.503735267281972,0.215361386766348,0.202663765197268,"Blastomere B"
"B2",11.5032796,"Eye_and_other",0.705837384840161,0.491037645712893,0.47847006732571,0.503735267281972,0.214799739127268,0.202102117558189,"Blastomere B"
"B2",11.5032796,"Hepatocytes",0.777857142857143,0.491037645712893,0.47847006732571,0.503735267281972,0.28681949714425,0.274121875575171,"Blastomere B"
"B2",11.5032796,"Intermediate_neuronal_progenitors",0.806331367940014,0.491037645712893,0.47847006732571,0.503735267281972,0.315293722227121,0.302596100658042,"Blastomere B"
"B2",11.5032796,"Intestine",0.491425347117264,0.491037645712893,0.47847006732571,0.503735267281972,0.000387701404371499,-0.0123099201647078,"Blastomere B"
"B2",11.5032796,"Lung_and_airway",0.568123667377399,0.491037645712893,0.47847006732571,0.503735267281972,0.0770860216645061,0.0643884000954268,"Blastomere B"
"B2",11.5032796,"Mast_cells",0.359776304888152,0.491037645712893,0.47847006732571,0.503735267281972,-0.13126134082474,-0.143958962393819,"Blastomere B"
"B2",11.5032796,"Megakaryocytes",0.518554242692174,0.491037645712893,0.47847006732571,0.503735267281972,0.027516596979281,0.0148189754102017,"Blastomere B"
"B2",11.5032796,"Mesoderm",0.74026834474004,0.491037645712893,0.47847006732571,0.503735267281972,0.249230699027148,0.236533077458068,"Blastomere B"
"B2",11.5032796,"Muscle_cells",0.647668580128988,0.491037645712893,0.47847006732571,0.503735267281972,0.156630934416095,0.143933312847016,"Blastomere B"
"B2",11.5032796,"Neural_crest_PNS_glia",0.614079657829279,0.491037645712893,0.47847006732571,0.503735267281972,0.123042012116386,0.110344390547307,"Blastomere B"
"B2",11.5032796,"Neural_crest_PNS_neurons",0.6251207198686,0.491037645712893,0.47847006732571,0.503735267281972,0.134083074155707,0.121385452586628,"Blastomere B"
"B2",11.5032796,"Neuroectoderm_and_glia",0.788431467022551,0.491037645712893,0.47847006732571,0.503735267281972,0.297393821309659,0.284696199740579,"Blastomere B"
"B2",11.5032796,"Olfactory_sensory_neurons",0.725982550893228,0.491037645712893,0.47847006732571,0.503735267281972,0.234944905180335,0.222247283611256,"Blastomere B"
"B2",11.5032796,"White_blood_cells",0.6198892562851,0.491037645712893,0.47847006732571,0.503735267281972,0.128851610572207,0.116153989003128,"Blastomere B"
"B2",11.635729,"CNS_neurons",0.767155267682711,0.491844400745183,0.479091933494422,0.504769362121303,0.275310866937528,0.262385905561408,"Blastomere B"
"B2",11.635729,"Definitive_erythroid",0.644211576846307,0.491844400745183,0.479091933494422,0.504769362121303,0.152367176101125,0.139442214725005,"Blastomere B"
"B2",11.635729,"Endothelium",0.52965852928312,0.491844400745183,0.479091933494422,0.504769362121303,0.0378141285379369,0.0248891671618169,"Blastomere B"
