"old","shift","blast"
12.558928,0.333185099999994,"B1"
8.226006,1.88060809999999,"B1"
9.01622,1.59958609999999,"B1"
10.364943,1.12016909999999,"B1"
8.168483,1.90820209999999,"B1"
12.956243,0.194412099999994,"B1"
12.084793,0.504482099999992,"B1"
7.762253,2.06410109999999,"B1"
11.364853,0.766621099999993,"B1"
10.201503,1.18358109999999,"B1"
4.359291,3.36841209999999,"B1"
4.442624,3.36841209999999,"B1"
4.66245,3.23191909999999,"B1"
4.857432,3.13536969999999,"B1"
10.973712,0.91147969999999,"B1"
5.348932,2.94020969999999,"B1"
6.864782,2.38057869999999,"B1"
6.993965,2.33472869999999,"B1"
8.529052,1.78794969999999,"B1"
4.89869,3.11743109999999,"B1"
5.732386,2.80127009999999,"B1"
8.064666,1.95466009999999,"B1"
12.516296,0.353420099999996,"B1"
9.697996,1.36577009999999,"B1"
5.527498,2.87623009999999,"B1"
12.373928,0.404970099999993,"B1"
7.744928,2.06845009999999,"B1"
4.86387,3.16775609999999,"B1"
6.11745,2.68405109999999,"B1"
10.6207,1.04071109999999,"B1"
8.15322,1.94404609999999,"B1"
5.386041,2.95572109999999,"B1"
7.503531,2.16855109999999,"B1"
7.798325,2.05314609999999,"B1"
9.964575,1.26940609999999,"B1"
5.171769,3.00080609999999,"B1"
6.909889,2.36823609999999,"B1"
8.138539,1.92249409999999,"B1"
11.135989,0.846654099999991,"B1"
10.564639,1.05225609999999,"B1"
6.039398,2.67835009999999,"B1"
8.811728,1.67976009999999,"B1"
6.649153,2.45406309999999,"B1"
7.208919,2.25097909999999,"B1"
8.442169,1.80793009999999,"B1"
12.930379,0.203790099999992,"B1"
9.771039,1.33207009999999,"B1"
11.029499,0.882054099999991,"B1"
12.412409,0.38811909999999,"B1"
6.823099,2.38933009999999,"B1"
9.141539,1.55804009999999,"B1"
5.016389,3.01026809999999,"B1"
5.099722,3.01026809999999,"B1"
5.183055,3.01026809999999,"B1"
5.481487,2.86022809999999,"B1"
5.56482,2.86022809999999,"B1"
5.648153,2.86022809999999,"B1"
6.302376,2.60394209999999,"B1"
7.345376,2.21782909999999,"B1"
6.734897,2.41332709999999,"B1"
8.333847,1.84318709999999,"B1"
7.437777,2.16286109999999,"B1"
9.325817,1.48960109999999,"B1"
12.598197,0.321891099999991,"B1"
11.519647,0.704361099999991,"B1"
6.490815,2.52601209999999,"B1"
11.046705,0.882102099999994,"B1"
7.847585,2.03052709999999,"B1"
5.927215,2.71012509999999,"B1"
9.179615,1.54469509999999,"B1"
7.427555,2.1716461,"B1"
8.277519,1.86612709999999,"B1"
12.580139,0.327627099999996,"B1"
6.682979,2.42420809999999,"B1"
7.936979,1.98084109999999,"B1"
11.419239,0.741021099999992,"B1"
7.767409,2.04121209999999,"B1"
9.902719,1.28205209999999,"B1"
10.15545,1.19241409999999,"B1"
12.55206,0.337164099999995,"B1"
8.325561,1.84406209999999,"B1"
5.680297,2.77980709999999,"B1"
7.717587,2.05820709999999,"B1"
10.245477,1.15936709999999,"B1"
4.394457,3.27326709999999,"B1"
5.129933,2.97599409999999,"B1"
5.484866,2.85506009999999,"B1"
5.76556,2.75703709999999,"B1"
9.05867,1.58395709999999,"B1"
6.431697,2.52026809999999,"B1"
11.686057,0.646018099999992,"B1"
5.777091,2.75364809999999,"B1"
7.130421,2.27249809999999,"B1"
8.569361,1.75975009999999,"B1"
9.187043,1.53957609999999,"B1"
9.357014,1.47854509999999,"B1"
10.722414,0.991534099999994,"B1"
11.833574,0.594940099999993,"B1"
8.215181,1.88601309999999,"B1"
6.163659,2.61709809999999,"B1"
6.726907,2.41679609999999,"B1"
7.633162,2.09378509999999,"B1"
8.792562,1.68022909999999,"B1"
11.136842,0.842875099999995,"B1"
5.723438,2.73141609999999,"B1"
5.806771,2.73141609999999,"B1"
5.890104,2.73141609999999,"B1"
5.973437,2.73141609999999,"B1"
6.05677,2.73141609999999,"B1"
7.26946,2.26896209999999,"B1"
6.415431,2.57246609999999,"B1"
8.133251,1.93670609999999,"B1"
9.687611,1.37590609999999,"B1"
6.633179,2.46023109999999,"B1"
8.406829,1.82182109999999,"B1"
9.666169,1.37005609999999,"B1"
11.392219,0.752226099999989,"B1"
6.572128,2.46457909999999,"B1"
7.567718,2.11316609999999,"B1"
9.522188,1.41811609999999,"B1"
11.253728,0.80126609999999,"B1"
9.153098,1.54951609999999,"B1"
8.530788,1.75358609999999,"B1"
10.429038,1.08896609999999,"B1"
10.995387,0.890961099999991,"B1"
4.781715,3.12740309999999,"B1"
6.622685,2.46356309999999,"B1"
9.576475,1.40390309999999,"B1"
6.480245,2.51439309999999,"B1"
11.018365,0.887553099999991,"B1"
4.861031,3.15797609999999,"B1"
5.499782,2.90188009999999,"B1"
8.020702,1.97537009999999,"B1"
9.814122,1.32478009999999,"B1"
8.451002,1.82191009999999,"B1"
5.294066,2.97784009999999,"B1"
7.418336,2.19490009999999,"B1"
6.798226,2.42052409999999,"B1"
8.785686,1.69592409999999,"B1"
11.348236,0.772004099999991,"B1"
3.855775,3.53859609999999,"B1"
4.54058,3.18657009999999,"B1"
4.623913,3.18657009999999,"B1"
4.707246,3.18657009999999,"B1"
4.903482,3.10027709999999,"B1"
