progenitor,postmitotic,n_cells_A,fold_A,q_A,n_cells_B,fold_B,q_B,tested_in_both,captured
Eye field,Cajal-Retzius cells,12,1.48,1.000e+00,10,1.29,1.000e+00,1,0
Neural progenitor cells (Neurod1+),Cajal-Retzius cells,15,1.87,2.677e-01,3,0.67,1.000e+00,1,0
Satellite glial cells,Glutamatergic neurons,5,1.11,1.000e+00,4,1.83,1.000e+00,1,0
Astrocytes,Neural crest (PNS neurons),12,1.38,1.000e+00,4,1.3,1.000e+00,1,0
Dorsal telencephalon,Deep-layer neurons,37,1.45,2.231e-01,16,1.23,1.000e+00,1,0
Definitive erythroblasts (CD36+),Cajal-Retzius cells,,,,,,,0,0
Thalamic neuronal precursors,Cajal-Retzius cells,118,1.5,4.184e-04,58,1.14,1.000e+00,1,0
Myelinating Schwann cells,Otic sensory neurons,6,1.74,1.000e+00,,,,0,0
Neural progenitor cells (Ror1+),Glutamatergic neurons,7,1.69,1.000e+00,,,,0,0
Hindbrain,Neurons (Slc17a8+),3,1.66,1.000e+00,,,,0,0
Pituitary gland cells,GABAergic cortical interneurons,3,1.31,1.000e+00,,,,0,0
Lung progenitor cells,Neural crest (PNS neurons),4,1.25,1.000e+00,,,,0,0
Oligodendrocyte progenitor cells,Glutamatergic neurons,11,1.41,1.000e+00,,,,0,0
Lateral plate and intermediate mesoderm,Primitive erythroid cells,5,1.29,1.000e+00,,,,0,0
Endothelium,Otic sensory neurons,3,0.99,1.000e+00,3,1.56,1.000e+00,1,0
Midbrain,Primitive erythroid cells,4,1.37,1.000e+00,,,,0,0
Brain pericytes,Glutamatergic neurons,3,1.48,1.000e+00,,,,0,0
Dorsal telencephalon,GABAergic cortical interneurons,79,1.35,1.035e-01,27,0.96,1.000e+00,1,0
Neural crest (PNS glia),GABAergic neurons,92,1.17,6.434e-01,38,1.29,7.262e-01,1,0
Retinal pigment cells,Glutamatergic neurons,8,1.31,1.000e+00,5,1.01,1.000e+00,1,0
Definitive erythroblasts (CD36+),GABAergic cortical interneurons,4,0.7,1.000e+00,8,1.82,8.708e-01,1,0
Hindbrain,Spinal cord motor neurons,9,1.46,1.000e+00,,,,0,0
Pre-osteoblasts (Sp7+),Granular keratinocytes,,,,,,,0,0
Hypothalamus (Sim1+),GABAergic neurons,5,1.23,1.000e+00,,,,0,0
Hindbrain,Cranial motor neurons,3,1.2,1.000e+00,,,,0,0
Fibroblasts,Myotubes,5,1.42,1.000e+00,,,,0,0
Anterior roof plate,Deep-layer neurons,,,,3,1.71,1.000e+00,0,0
Fibroblasts,Primitive erythroid cells,10,1.23,1.000e+00,3,0.84,1.000e+00,1,0
Anterior floor plate,GABAergic cortical interneurons,30,1.28,1.000e+00,6,0.62,1.000e+00,1,0
Midbrain,Cerebellar Purkinje cells,140,1.13,6.641e-01,57,0.96,1.000e+00,1,0
Naive retinal progenitor cells,Cajal-Retzius cells,19,1.21,1.000e+00,14,0.93,1.000e+00,1,0
Myelinating Schwann cells,GABAergic neurons,152,1.09,1.000e+00,56,1.0,1.000e+00,1,0
Choroid plexus,Cerebellar Purkinje cells,4,1.12,1.000e+00,,,,0,0
Floorplate and p3 domain,GABAergic neurons,20,0.87,1.000e+00,14,1.5,9.043e-01,1,0
Arterial endothelial cells,Deep-layer neurons,3,1.43,1.000e+00,,,,0,0
Facial mesenchyme,Primitive erythroid cells,4,1.39,1.000e+00,,,,0,0
Retinal progenitor cells,Cajal-Retzius cells,4,1.64,1.000e+00,,,,0,0
Early chondrocytes,Primitive erythroid cells,,,,,,,0,0
Myofibroblasts,Spinal cord motor neurons,3,0.94,1.000e+00,,,,0,0
Pituitary/Pineal gland progenitors,GABAergic cortical interneurons,4,1.04,1.000e+00,,,,0,0
Facial mesenchyme,Olfactory sensory neurons,38,1.09,1.000e+00,14,0.81,1.000e+00,1,0
Diencephalon,Cajal-Retzius cells,46,1.15,1.000e+00,20,0.77,1.000e+00,1,0
Placodal area,Glutamatergic neurons,5,1.4,1.000e+00,,,,0,0
Anterior floor plate,Cajal-Retzius cells,6,1.07,1.000e+00,,,,0,0
Oligodendrocyte progenitor cells,GABAergic neurons,4,1.04,1.000e+00,,,,0,0
Placodal area,GABAergic cortical interneurons,,,,,,,0,0
Myofibroblasts,Otic sensory neurons,,,,,,,0,0
Adrenocortical cells,GABAergic neurons,5,1.04,1.000e+00,,,,0,0
Facial mesenchyme,Dorsal root ganglion neurons,4,0.83,1.000e+00,3,1.16,1.000e+00,1,0
Floorplate and p3 domain,Cerebellar Purkinje cells,,,,4,1.81,1.000e+00,0,0
Floorplate and p3 domain,GABAergic cortical interneurons,25,0.92,1.000e+00,12,0.94,1.000e+00,1,0
Definitive erythroblasts (CD36+),Deep-layer neurons,4,1.36,1.000e+00,,,,0,0
Thalamic neuronal precursors,GABAergic cortical interneurons,335,1.05,1.000e+00,142,0.7,1.000e+00,1,0
Neural crest (PNS glia),Glutamatergic neurons,141,0.94,1.000e+00,50,0.83,1.000e+00,1,0
Lung progenitor cells,Granular keratinocytes,3,1.22,1.000e+00,,,,0,0
Limb mesenchyme progenitors,Neurons (Slc17a8+),3,1.0,1.000e+00,,,,0,0
Sclerotome,Primitive erythroid cells,4,1.21,1.000e+00,,,,0,0
Myelinating Schwann cells,Glutamatergic neurons,236,0.87,1.000e+00,108,0.94,1.000e+00,1,0
Endocardial cells,Cerebellar Purkinje cells,3,1.2,1.000e+00,,,,0,0
Spinal cord ventral progenitors,GABAergic cortical interneurons,13,0.82,1.000e+00,8,0.98,1.000e+00,1,0
Astrocytes,Cajal-Retzius cells,19,0.76,1.000e+00,13,1.07,1.000e+00,1,0
Intermediate neuronal progenitors,GABAergic cortical interneurons,239,0.83,1.000e+00,151,0.92,1.000e+00,1,0
Astrocytes,Sympathetic neurons,,,,,,,0,0
Spinal cord ventral progenitors,Cajal-Retzius cells,3,0.82,1.000e+00,,,,0,0
Midbrain-hindbrain boundary,GABAergic neurons,7,0.88,1.000e+00,,,,0,0
Lateral plate and intermediate mesoderm,Neurons (Slc17a8+),6,1.22,1.000e+00,,,,0,0
Sclerotome,Neurons (Slc17a8+),,,,3,1.27,1.000e+00,0,0
Retinal progenitor cells,GABAergic cortical interneurons,6,0.74,1.000e+00,7,0.96,1.000e+00,1,0
Definitive erythroblasts (CD36+),Glutamatergic neurons,6,0.61,1.000e+00,7,1.21,1.000e+00,1,0
Hypothalamus (Sim1+),GABAergic cortical interneurons,4,0.94,1.000e+00,,,,0,0
