progenitor,postmitotic,n_cells_A,fold_A,q_A,n_cells_B,fold_B,q_B,tested_in_both,captured
Telencephalon,Spinal cord motor neurons,12,0.25,1.000e+00,5,0.22,1.000e+00,1,0
Border-associated macrophages,Neural crest (PNS neurons),,,,3,0.48,1.000e+00,0,0
Hindbrain,Olfactory sensory neurons,3,0.26,1.000e+00,,,,0,0
Metanephric mesenchyme,GABAergic cortical interneurons,9,0.28,1.000e+00,3,0.18,1.000e+00,1,0
Definitive early erythroblasts (CD36-),Enteric neurons,3,0.29,1.000e+00,,,,0,0
Hematopoietic stem cells (Cd34+),Olfactory sensory neurons,,,,,,,0,0
Hematopoietic stem cells (Cd34+),GABAergic cortical interneurons,38,0.18,1.000e+00,40,0.29,1.000e+00,1,0
Kupffer cells,Cajal-Retzius cells,,,,,,,0,0
Hepatocytes,Cerebellar Purkinje cells,10,0.22,1.000e+00,9,0.24,1.000e+00,1,0
Hepatocytes,Olfactory sensory neurons,5,0.38,1.000e+00,,,,0,0
Telencephalon,Dorsal root ganglion neurons,,,,3,0.42,1.000e+00,0,0
Fibroblasts,Retinal ganglion cells,9,0.31,1.000e+00,4,0.15,1.000e+00,1,0
Hepatocytes,Cajal-Retzius cells,16,0.24,1.000e+00,13,0.2,1.000e+00,1,0
Chondrocytes (Atp1a2+),Olfactory sensory neurons,4,0.22,1.000e+00,,,,0,0
Telencephalon,Enteric neurons,,,,,,,0,0
Ureteric bud,Glutamatergic neurons,4,0.22,1.000e+00,3,0.24,1.000e+00,1,0
Hepatocytes,Glutamatergic neurons,105,0.22,1.000e+00,72,0.19,1.000e+00,1,0
Hematopoietic stem cells (Cd34+),Deep-layer neurons,19,0.21,1.000e+00,12,0.21,1.000e+00,1,0
Telencephalon,Neurons (Slc17a8+),3,0.31,1.000e+00,,,,0,0
Definitive early erythroblasts (CD36-),Cranial motor neurons,3,0.2,1.000e+00,,,,0,0
Otic epithelial cells,GABAergic cortical interneurons,13,0.24,1.000e+00,3,0.15,1.000e+00,1,0
Midbrain,Neural crest (PNS neurons),12,0.22,1.000e+00,4,0.2,1.000e+00,1,0
Hindbrain,Megakaryocytes,,,,,,,0,0
Olfactory bulb cells,GABAergic neurons,,,,,,,0,0
Definitive early erythroblasts (CD36-),Sympathetic neurons,14,0.19,1.000e+00,8,0.21,1.000e+00,1,0
Lateral plate and intermediate mesoderm,Spinal cord motor neurons,,,,3,0.38,1.000e+00,0,0
Definitive early erythroblasts (CD36-),GABAergic cortical interneurons,385,0.17,1.000e+00,293,0.21,1.000e+00,1,0
Hematopoietic stem cells (Cd34+),Neural crest (PNS neurons),3,0.22,1.000e+00,,,,0,0
Branchial arch epithelium,Neural crest (PNS neurons),3,0.26,1.000e+00,,,,0,0
Intermediate neuronal progenitors,Granular keratinocytes,3,0.21,1.000e+00,,,,0,0
Hematopoietic stem cells (Cd34+),Glutamatergic neurons,51,0.15,1.000e+00,51,0.26,1.000e+00,1,0
Definitive early erythroblasts (CD36-),GABAergic neurons,318,0.17,1.000e+00,200,0.21,1.000e+00,1,0
Mast cells,Glutamatergic neurons,,,,5,0.3,1.000e+00,0,0
Thalamic neuronal precursors,Megakaryocytes,,,,3,0.39,1.000e+00,0,0
Myoblasts,Retinal ganglion cells,,,,,,,0,0
Border-associated macrophages,Cerebellar Purkinje cells,5,0.2,1.000e+00,,,,0,0
Definitive early erythroblasts (CD36-),Glutamatergic neurons,535,0.15,1.000e+00,376,0.19,1.000e+00,1,0
Definitive early erythroblasts (CD36-),Granular keratinocytes,23,0.17,1.000e+00,9,0.15,1.000e+00,1,0
Definitive early erythroblasts (CD36-),Cajal-Retzius cells,80,0.15,1.000e+00,61,0.18,1.000e+00,1,0
Definitive early erythroblasts (CD36-),Dorsal root ganglion neurons,3,0.23,1.000e+00,,,,0,0
Hepatocytes,Megakaryocytes,,,,,,,0,0
Hepatocytes,Granular keratinocytes,3,0.21,1.000e+00,,,,0,0
Metanephric mesenchyme,Deep-layer neurons,,,,,,,0,0
Hematopoietic stem cells (Cd34+),Cerebellar Purkinje cells,6,0.19,1.000e+00,,,,0,0
Midgut/Hindgut epithelial cells,Deep-layer neurons,,,,,,,0,0
Telencephalon,Megakaryocytes,15,0.15,1.000e+00,9,0.15,1.000e+00,1,0
Hepatocytes,Deep-layer neurons,15,0.13,1.000e+00,20,0.17,1.000e+00,1,0
Myoblasts,Megakaryocytes,3,0.11,1.000e+00,4,0.23,1.000e+00,1,0
Hematopoietic stem cells (Mpo+),Glutamatergic neurons,6,0.12,1.000e+00,5,0.22,1.000e+00,1,0
Midbrain,Megakaryocytes,4,0.16,1.000e+00,,,,0,0
Definitive early erythroblasts (CD36-),Cerebellar Purkinje cells,47,0.13,1.000e+00,32,0.16,1.000e+00,1,0
Chondrocytes (Atp1a2+),Megakaryocytes,3,0.21,1.000e+00,,,,0,0
Definitive early erythroblasts (CD36-),Deep-layer neurons,110,0.11,1.000e+00,89,0.15,1.000e+00,1,0
Hepatocytes,Neural crest (PNS neurons),3,0.16,1.000e+00,,,,0,0
Definitive early erythroblasts (CD36-),Olfactory sensory neurons,11,0.11,1.000e+00,9,0.16,1.000e+00,1,0
Definitive early erythroblasts (CD36-),Neural crest (PNS neurons),18,0.1,1.000e+00,9,0.12,1.000e+00,1,0
Definitive early erythroblasts (CD36-),Retinal ganglion cells,3,0.13,1.000e+00,3,0.11,1.000e+00,1,0
