"blastomere","node","support"
"B1",411441,6
"B1",411442,0
"B1",411443,1
"B1",411444,5
"B1",411445,4
"B1",411446,7
"B1",411447,4
"B1",411448,0
"B1",411449,1
"B1",411450,0
"B1",411451,0
"B1",411452,2
"B1",411453,7
"B1",411454,7
"B1",411455,1
"B1",411456,8
"B1",411457,8
"B1",411458,2
"B1",411459,11
"B1",411460,5
"B1",411461,0
"B1",411462,2
"B1",411463,10
"B1",411464,8
"B1",411465,13
"B1",411466,5
"B1",411467,0
"B1",411468,11
"B1",411469,0
"B1",411470,0
"B1",411471,5
"B1",411472,4
"B1",411473,4
"B1",411474,7
"B1",411475,9
"B1",411476,2
"B1",411477,5
"B1",411478,1
"B1",411479,2
"B1",411480,4
"B1",411481,2
"B1",411482,0
"B1",411483,1
"B1",411484,4
"B1",411485,3
"B1",411486,3
"B1",411487,6
"B1",411488,3
"B1",411489,0
"B1",411490,16
"B1",411491,5
"B1",411492,20
"B1",411493,3
"B1",411494,10
"B1",411495,10
"B1",411496,17
"B1",411497,2
"B1",411498,3
"B1",411499,0
"B1",411500,2
"B1",411501,4
"B1",411502,1
"B1",411503,5
"B1",411504,3
"B1",411505,4
"B1",411506,0
"B1",411507,2
"B1",411508,3
"B1",411509,2
"B1",411510,1
"B1",411511,4
"B1",411512,2
"B1",411513,0
"B1",411514,0
"B1",411515,0
"B1",411516,1
"B1",411517,4
"B1",411518,0
"B1",411519,3
"B1",411520,0
"B1",411521,5
"B1",411522,4
"B1",411523,3
"B1",411524,0
"B1",411525,1
"B1",411526,4
"B1",411527,0
"B1",411528,0
"B1",411529,0
"B1",411530,3
"B1",411531,3
"B1",411532,3
"B1",411533,0
"B1",411534,0
"B1",411535,1
"B1",411536,0
"B1",411537,0
"B1",411538,0
"B1",411539,2
"B1",411540,3
"B1",411541,1
"B1",411542,2
"B1",411543,2
"B1",411544,0
"B1",411545,1
"B1",411546,6
"B1",411547,5
"B1",411548,0
"B1",411549,2
"B1",411550,11
"B1",411551,0
"B1",411552,0
"B1",411553,1
"B1",411554,9
"B1",411555,2
"B1",411556,5
"B1",411557,4
"B1",411558,4
"B1",411559,5
"B1",411560,2
"B1",411561,7
"B1",411562,1
"B1",411563,3
"B1",411564,2
"B1",411565,0
"B1",411566,10
"B1",411567,0
"B1",411568,0
"B1",411569,0
"B1",411570,0
"B1",411571,3
"B1",411572,3
"B1",411573,10
"B1",411574,6
"B1",411575,3
"B1",411576,7
"B1",411577,0
"B1",411578,2
"B1",411579,2
"B1",411580,6
"B1",411581,1
"B1",411582,4
"B1",411583,10
"B1",411584,5
"B1",411585,0
"B1",411586,10
"B1",411587,0
"B1",411588,4
"B1",411589,6
"B1",411590,4
"B1",411591,6
"B1",411592,0
"B1",411593,6
"B1",411594,0
"B1",411595,9
"B1",411596,3
"B1",411597,3
"B1",411598,0
"B1",411599,3
"B1",411600,5
"B1",411601,2
"B1",411602,3
"B1",411603,0
"B1",411604,4
"B1",411605,5
"B1",411606,1
"B1",411607,3
"B1",411608,2
"B1",411609,3
"B1",411610,4
"B1",411611,5
"B1",411612,1
"B1",411613,3
"B1",411614,11
"B1",411615,3
"B1",411616,7
"B1",411617,9
"B1",411618,3
"B1",411619,9
"B1",411620,2
"B1",411621,10
"B1",411622,1
"B1",411623,15
"B1",411624,10
"B1",411625,5
"B1",411626,5
"B1",411627,0
"B1",411628,1
"B1",411629,5
"B1",411630,0
"B1",411631,2
"B1",411632,0
"B1",411633,3
"B1",411634,10
"B1",411635,7
"B1",411636,11
"B1",411637,5
"B1",411638,1
"B1",411639,4
"B1",411640,5
"B1",411641,20
"B1",411642,16
"B1",411643,6
"B1",411644,17
"B1",411645,5
"B1",411646,14
"B1",411647,1
"B1",411648,5
"B1",411649,2
"B1",411650,1
"B1",411651,0
"B1",411652,1
"B1",411653,2
"B1",411654,7
"B1",411655,9
"B1",411656,2
"B1",411657,2
"B1",411658,4
"B1",411659,3
"B1",411660,10
"B1",411661,6
"B1",411662,8
"B1",411663,6
"B1",411664,0
"B1",411665,2
"B1",411666,3
"B1",411667,8
"B1",411668,6
"B1",411669,3
"B1",411670,16
"B1",411671,8
"B1",411672,21
"B1",411673,1
"B1",411674,4
"B1",411675,1
"B1",411676,0
"B1",411677,4
"B1",411678,3
"B1",411679,5
"B1",411680,11
"B1",411681,3
"B1",411682,3
"B1",411683,5
"B1",411684,1
"B1",411685,3
"B1",411686,1
"B1",411687,0
"B1",411688,0
"B1",411689,0
"B1",411690,10
"B1",411691,0
"B1",411692,0
"B1",411693,0
"B1",411694,0
"B1",411695,1
"B1",411696,2
"B1",411697,0
"B1",411698,0
"B1",411699,2
"B1",411700,5
"B1",411701,6
"B1",411702,7
"B1",411703,5
"B1",411704,4
"B1",411705,3
"B1",411706,3
"B1",411707,5
"B1",411708,2
"B1",411709,8
"B1",411710,1
"B1",411711,1
"B1",411712,3
"B1",411713,1
"B1",411714,5
"B1",411715,3
"B1",411716,11
"B1",411717,0
"B1",411718,0
"B1",411719,8
"B1",411720,10
"B1",411721,6
"B1",411722,11
"B1",411723,4
"B1",411724,2
"B1",411725,0
"B1",411726,0
"B1",411727,4
"B1",411728,3
"B1",411729,3
"B1",411730,3
"B1",411731,1
"B1",411732,1
"B1",411733,2
"B1",411734,11
"B1",411735,3
"B1",411736,9
"B1",411737,2
"B1",411738,5
"B1",411739,5
"B1",411740,8
"B1",411741,6
"B1",411742,7
"B1",411743,3
"B1",411744,2
"B1",411745,1
"B1",411746,5
"B1",411747,2
"B1",411748,4
"B1",411749,1
"B1",411750,0
"B1",411751,8
"B1",411752,2
"B1",411753,5
"B1",411754,3
"B1",411755,3
"B1",411756,1
"B1",411757,1
"B1",411758,1
"B1",411759,1
"B1",411760,1
"B1",411761,4
"B1",411762,8
"B1",411763,1
"B1",411764,7
"B1",411765,2
"B1",411766,8
"B1",411767,4
"B1",411768,3
"B1",411769,0
"B1",411770,2
"B1",411771,4
"B1",411772,1
"B1",411773,5
"B1",411774,12
"B1",411775,1
"B1",411776,6
"B1",411777,8
"B1",411778,2
"B1",411779,4
"B1",411780,10
"B1",411781,15
"B1",411782,0
"B1",411783,0
"B1",411784,3
"B1",411785,3
"B1",411786,9
"B1",411787,4
"B1",411788,0
"B1",411789,0
"B1",411790,1
"B1",411791,0
"B1",411792,0
"B1",411793,0
"B1",411794,2
"B1",411795,1
"B1",411796,3
"B1",411797,1
"B1",411798,1
"B1",411799,3
"B1",411800,5
"B1",411801,0
"B1",411802,12
"B1",411803,1
"B1",411804,7
"B1",411805,0
"B1",411806,0
"B1",411807,4
"B1",411808,0
"B1",411809,0
"B1",411810,2
"B1",411811,2
"B1",411812,2
"B1",411813,2
"B1",411814,0
"B1",411815,7
"B1",411816,0
"B1",411817,4
"B1",411818,2
"B1",411819,2
"B1",411820,0
"B1",411821,2
"B1",411822,0
"B1",411823,0
"B1",411824,0
"B1",411825,1
"B1",411826,2
"B1",411827,0
"B1",411828,3
"B1",411829,7
"B1",411830,1
"B1",411831,2
"B1",411832,6
"B1",411833,2
"B1",411834,0
"B1",411835,5
"B1",411836,3
"B1",411837,6
"B1",411838,5
"B1",411839,2
"B1",411840,1
"B1",411841,8
"B1",411842,10
"B1",411843,3
"B1",411844,4
"B1",411845,1
"B1",411846,3
"B1",411847,1
"B1",411848,1
"B1",411849,0
"B1",411850,2
"B1",411851,9
"B1",411852,5
"B1",411853,2
"B1",411854,4
"B1",411855,0
"B1",411856,0
"B1",411857,0
"B1",411858,0
"B1",411859,3
"B1",411860,5
"B1",411861,4
"B1",411862,5
"B1",411863,3
"B1",411864,0
"B1",411865,8
"B1",411866,4
"B1",411867,0
"B1",411868,0
"B1",411869,6
"B1",411870,1
"B1",411871,1
"B1",411872,1
"B1",411873,5
"B1",411874,13
"B1",411875,3
"B1",411876,6
"B1",411877,4
"B1",411878,5
"B1",411879,9
"B1",411880,10
"B1",411881,9
"B1",411882,2
"B1",411883,0
"B1",411884,0
"B1",411885,3
"B1",411886,5
"B1",411887,0
"B1",411888,0
"B1",411889,0
"B1",411890,0
"B1",411891,0
"B1",411892,1
"B1",411893,2
"B1",411894,3
"B1",411895,2
"B1",411896,1
"B1",411897,4
"B1",411898,3
"B1",411899,4
"B1",411900,3
"B1",411901,0
"B1",411902,2
"B1",411903,1
"B1",411904,2
"B1",411905,1
"B1",411906,0
"B1",411907,1
"B1",411908,0
"B1",411909,4
"B1",411910,4
"B1",411911,4
"B1",411912,6
"B1",411913,2
"B1",411914,6
"B1",411915,1
"B1",411916,0
"B1",411917,6
"B1",411918,4
"B1",411919,4
"B1",411920,3
"B1",411921,1
"B1",411922,2
"B1",411923,1
"B1",411924,2
"B1",411925,6
"B1",411926,1
"B1",411927,1
