celltype_1,celltype_2,category,log2_enr_A_K15,log2_enr_A_K200,log2_enr_B_K15,log2_enr_B_K200
Anterior floor plate,Sympathetic neurons,neither,-1.3880,-1.8641,-0.4159,-1.6570
Anterior floor plate,Telencephalon,neither,-1.5456,-0.9439,-1.2240,-0.7164
Anterior floor plate,Thalamic neuronal precursors,neither,-1.5446,-2.3958,-0.9830,-1.4467
Anterior floor plate,Ureteric bud,neither,-0.4774,-1.5289,-1.8451,-1.8839
Anterior roof plate,Astrocytes,neither,-1.0392,-1.2238,-0.5022,-0.6761
Anterior roof plate,Border-associated macrophages,neither,-1.9202,-2.8328,-2.0856,-2.2690
Anterior roof plate,Brain capillary endothelial cells,neither,0.0610,-2.0559,-0.0448,-1.0400
Anterior roof plate,Branchial arch epithelium,neither,-0.9328,-1.7537,-0.5768,-0.5612
Anterior roof plate,Cajal-Retzius cells,neither,-0.6447,-0.8787,-0.3657,-0.5985
Anterior roof plate,Cerebellar Purkinje cells,neither,-0.5432,-1.0216,0.5855,-0.4795
Anterior roof plate,Chondrocytes (Atp1a2+),neither,-1.4069,-1.2079,-0.8561,-0.9393
Anterior roof plate,Choroid plexus,both_K,4.1324,1.4808,3.2618,1.2395
Anterior roof plate,Cranial motor neurons,neither,-1.0504,-0.9084,-0.5948,-0.9313
Anterior roof plate,Deep-layer neurons,neither,-1.2043,-1.0578,-0.7544,-0.8536
Anterior roof plate,Definitive early erythroblasts (CD36-),neither,-3.7632,-1.6103,-3.8088,-1.5181
Anterior roof plate,Definitive erythroblasts (CD36+),neither,-0.5025,-0.7976,-0.3135,-1.1934
Anterior roof plate,Dermatome,neither,-2.0627,-1.1103,-0.6370,-0.6614
Anterior roof plate,Dermomyotome,neither,-0.7500,-1.7317,-0.4278,-0.8825
Anterior roof plate,Diencephalon,neither,0.3016,-1.5419,-0.1769,-1.6293
Anterior roof plate,Dorsal root ganglion neurons,neither,0.6531,-0.2872,-0.4816,-1.6461
Anterior roof plate,Dorsal telencephalon,neither,1.7319,-0.8769,1.0451,-0.5814
Anterior roof plate,Early chondrocytes,neither,-0.9632,-1.0611,-1.3168,-0.6637
Anterior roof plate,Endocardial cells,neither,-1.0063,-1.2434,-0.6645,-1.5271
Anterior roof plate,Endothelium,neither,-1.3736,-1.3393,-0.5995,-0.8114
Anterior roof plate,Enteric neurons,neither,-0.7831,-1.4065,0.7354,0.0908
Anterior roof plate,Eye field,neither,-1.6876,-2.0618,0.4372,-0.7066
Anterior roof plate,Facial mesenchyme,neither,-0.9460,-0.8492,-1.2163,-0.5517
Anterior roof plate,Fibroblasts,neither,-1.1752,-0.6455,-1.2376,-0.4024
Anterior roof plate,First heart field,neither,-0.6023,-1.4488,-0.3871,0.2233
Anterior roof plate,Floorplate and p3 domain,neither,0.0303,-0.6871,0.1142,-1.0203
Anterior roof plate,GABAergic cortical interneurons,neither,-1.5928,-0.7896,-0.7097,-0.3927
Anterior roof plate,GABAergic neurons,neither,-0.8914,-0.7299,-0.6552,-0.3693
Anterior roof plate,Glutamatergic neurons,neither,-0.6181,-0.5549,-0.1189,-0.3893
Anterior roof plate,Granular keratinocytes,neither,-0.3357,-1.0756,-0.5080,-0.4955
Anterior roof plate,Hematopoietic stem cells (Cd34+),neither,-2.9101,-2.9503,-1.7191,-3.1640
Anterior roof plate,Hematopoietic stem cells (Mpo+),neither,-1.6737,-2.1687,-1.1399,-2.4991
Anterior roof plate,Hepatocytes,neither,-2.0442,-2.9131,-2.5617,-2.8053
Anterior roof plate,Hindbrain,neither,0.4989,-0.5445,0.8301,-0.3297
Anterior roof plate,Hypothalamus,neither,-0.9169,-1.7781,0.2756,-1.3594
Anterior roof plate,Hypothalamus (Sim1+),neither,-0.4180,-0.8241,-0.2834,-0.9562
Anterior roof plate,Intermediate neuronal progenitors,neither,-0.5339,-1.0724,-1.5204,-0.7751
