"blastomere","rank","size","blast"
"B1",265,633,"Blastomere A"
"B1",266,626,"Blastomere A"
"B1",267,622,"Blastomere A"
"B1",268,620,"Blastomere A"
"B1",269,618,"Blastomere A"
"B1",270,613,"Blastomere A"
"B1",271,606,"Blastomere A"
"B1",272,604,"Blastomere A"
"B1",273,602,"Blastomere A"
"B1",274,602,"Blastomere A"
"B1",275,601,"Blastomere A"
"B1",276,596,"Blastomere A"
"B1",277,589,"Blastomere A"
"B1",278,585,"Blastomere A"
"B1",279,583,"Blastomere A"
"B1",280,582,"Blastomere A"
"B1",281,580,"Blastomere A"
"B1",282,579,"Blastomere A"
"B1",283,573,"Blastomere A"
"B1",284,573,"Blastomere A"
"B1",285,572,"Blastomere A"
"B1",286,571,"Blastomere A"
"B1",287,566,"Blastomere A"
"B1",288,565,"Blastomere A"
"B1",289,561,"Blastomere A"
"B1",290,556,"Blastomere A"
"B1",291,554,"Blastomere A"
"B1",292,550,"Blastomere A"
"B1",293,550,"Blastomere A"
"B1",294,548,"Blastomere A"
"B1",295,541,"Blastomere A"
"B1",296,539,"Blastomere A"
"B1",297,538,"Blastomere A"
"B1",298,536,"Blastomere A"
"B1",299,536,"Blastomere A"
"B1",300,535,"Blastomere A"
"B1",301,530,"Blastomere A"
"B1",302,529,"Blastomere A"
"B1",303,523,"Blastomere A"
"B1",304,517,"Blastomere A"
"B1",305,517,"Blastomere A"
"B1",306,503,"Blastomere A"
"B1",307,500,"Blastomere A"
"B1",308,498,"Blastomere A"
"B1",309,497,"Blastomere A"
"B1",310,488,"Blastomere A"
"B1",311,487,"Blastomere A"
"B1",312,482,"Blastomere A"
"B1",313,481,"Blastomere A"
"B1",314,481,"Blastomere A"
"B1",315,477,"Blastomere A"
"B1",316,476,"Blastomere A"
"B1",317,473,"Blastomere A"
"B1",318,472,"Blastomere A"
"B1",319,470,"Blastomere A"
"B1",320,470,"Blastomere A"
"B1",321,469,"Blastomere A"
"B1",322,469,"Blastomere A"
"B1",323,467,"Blastomere A"
"B1",324,466,"Blastomere A"
"B1",325,466,"Blastomere A"
"B1",326,460,"Blastomere A"
"B1",327,454,"Blastomere A"
"B1",328,454,"Blastomere A"
"B1",329,450,"Blastomere A"
"B1",330,449,"Blastomere A"
"B1",331,447,"Blastomere A"
"B1",332,447,"Blastomere A"
"B1",333,446,"Blastomere A"
"B1",334,445,"Blastomere A"
"B1",335,444,"Blastomere A"
"B1",336,441,"Blastomere A"
"B1",337,440,"Blastomere A"
"B1",338,439,"Blastomere A"
"B1",339,437,"Blastomere A"
"B1",340,436,"Blastomere A"
"B1",341,435,"Blastomere A"
"B1",342,434,"Blastomere A"
"B1",343,433,"Blastomere A"
"B1",344,431,"Blastomere A"
"B1",345,428,"Blastomere A"
"B1",346,428,"Blastomere A"
"B1",347,426,"Blastomere A"
"B1",348,426,"Blastomere A"
"B1",349,426,"Blastomere A"
"B1",350,424,"Blastomere A"
"B1",351,423,"Blastomere A"
"B1",352,423,"Blastomere A"
"B1",353,422,"Blastomere A"
"B1",354,420,"Blastomere A"
"B1",355,417,"Blastomere A"
"B1",356,415,"Blastomere A"
"B1",357,415,"Blastomere A"
"B1",358,415,"Blastomere A"
"B1",359,413,"Blastomere A"
"B1",360,413,"Blastomere A"
"B1",361,413,"Blastomere A"
"B1",362,412,"Blastomere A"
"B1",363,411,"Blastomere A"
"B1",364,402,"Blastomere A"
"B1",365,400,"Blastomere A"
"B1",366,399,"Blastomere A"
"B1",367,398,"Blastomere A"
"B1",368,395,"Blastomere A"
"B1",369,394,"Blastomere A"
"B1",370,392,"Blastomere A"
"B1",371,392,"Blastomere A"
"B1",372,391,"Blastomere A"
"B1",373,391,"Blastomere A"
"B1",374,389,"Blastomere A"
"B1",375,388,"Blastomere A"
"B1",376,385,"Blastomere A"
"B1",377,385,"Blastomere A"
"B1",378,385,"Blastomere A"
"B1",379,384,"Blastomere A"
"B1",380,381,"Blastomere A"
"B1",381,378,"Blastomere A"
"B1",382,376,"Blastomere A"
"B1",383,376,"Blastomere A"
"B1",384,376,"Blastomere A"
"B1",385,373,"Blastomere A"
"B1",386,373,"Blastomere A"
"B1",387,372,"Blastomere A"
"B1",388,370,"Blastomere A"
"B1",389,367,"Blastomere A"
"B1",390,366,"Blastomere A"
"B1",391,365,"Blastomere A"
"B1",392,363,"Blastomere A"
"B1",393,363,"Blastomere A"
"B1",394,363,"Blastomere A"
"B1",395,363,"Blastomere A"
"B1",396,362,"Blastomere A"
"B1",397,362,"Blastomere A"
"B1",398,362,"Blastomere A"
"B1",399,362,"Blastomere A"
"B1",400,359,"Blastomere A"
"B1",401,359,"Blastomere A"
"B1",402,358,"Blastomere A"
"B1",403,358,"Blastomere A"
"B1",404,354,"Blastomere A"
"B1",405,354,"Blastomere A"
"B1",406,353,"Blastomere A"
"B1",407,352,"Blastomere A"
"B1",408,349,"Blastomere A"
"B1",409,349,"Blastomere A"
"B1",410,347,"Blastomere A"
"B1",411,346,"Blastomere A"
"B1",412,345,"Blastomere A"
"B1",413,345,"Blastomere A"
"B1",414,344,"Blastomere A"
"B1",415,341,"Blastomere A"
"B1",416,341,"Blastomere A"
"B1",417,340,"Blastomere A"
