"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f266","B_cells",NA,0,130,299,"B1"
"f267","B_cells",NA,0,130,52,"B2"
"f268","B_cells",NA,0,130,52,"B1"
"f269","B_cells",NA,0,130,1531,"B2"
"f270","B_cells",NA,0,130,36,"B2"
"f271","B_cells",NA,0,130,36,"B2"
"f272","B_cells",NA,0,130,27,"B1"
"f273","B_cells",NA,0,130,7423,"B2"
"f274","B_cells",NA,0,130,582,"B1"
"f275","B_cells",NA,0,130,38,"B2"
"f276","B_cells",NA,0,130,20,"B1"
"f277","B_cells",NA,0,130,82,"B2"
"f278","B_cells",NA,0,130,124,"B2"
"f279","B_cells",NA,0,130,31,"B2"
"f280","B_cells",NA,0,130,166,"B2"
"f281","B_cells",NA,0,130,135,"B1"
"f282","B_cells",NA,0,130,281,"B2"
"f283","B_cells",NA,0,130,64,"B1"
"f284","B_cells",NA,0,130,136,"B2"
"f285","B_cells",NA,0,130,480,"B2"
"f286","B_cells",NA,0,130,267,"B1"
"f287","B_cells",NA,0,130,35,"B2"
"f288","B_cells",NA,0,130,83,"B1"
"f289","B_cells",NA,0,130,131,"B2"
"f290","B_cells",NA,0,130,24,"B2"
"f291","B_cells",NA,0,130,48,"B1"
"f292","B_cells",NA,0,130,1981,"B1"
"f293","B_cells",NA,0,130,52,"B1"
"f294","B_cells",NA,0,130,104,"B2"
"f295","B_cells",NA,0,130,1393,"B2"
"f296","B_cells",NA,0,130,539,"B2"
"f297","B_cells",NA,0,130,41,"B2"
"f298","B_cells",NA,0,130,205,"B1"
"f299","B_cells",NA,0,130,207,"B1"
"f300","B_cells",NA,0,130,43,"B1"
"f301","B_cells",NA,0,130,172,"B1"
"f302","B_cells",NA,1,130,178,"B1"
"f303","B_cells",NA,0,130,105,"B2"
"f304","B_cells",NA,0,130,107,"B2"
"f305","B_cells",NA,0,130,385,"B2"
"f306","B_cells",NA,0,130,47,"B2"
"f307","B_cells",NA,0,130,34,"B1"
"f308","B_cells",NA,0,130,34,"B2"
"f309","B_cells",NA,0,130,19,"B1"
"f310","B_cells",NA,0,130,1189,"B1"
"f311","B_cells",NA,0,130,21,"B1"
"f312","B_cells",NA,0,130,744,"B2"
"f313","B_cells",NA,0,130,46,"B1"
"f314","B_cells",NA,0,130,117,"B1"
"f315","B_cells",NA,0,130,486,"B2"
"f316","B_cells",NA,0,130,27,"B2"
"f317","B_cells",NA,0,130,342,"B2"
"f318","B_cells",NA,0,130,29,"B2"
"f319","B_cells",NA,0,130,31,"B1"
"f320","B_cells",NA,0,130,256,"B1"
"f321","B_cells",NA,0,130,142,"B1"
"f322","B_cells",NA,0,130,119,"B1"
"f323","B_cells",NA,0,130,184,"B1"
"f324","B_cells",NA,0,130,51,"B1"
"f325","B_cells",NA,0,130,102,"B2"
"f326","B_cells",NA,0,130,1658,"B2"
"f327","B_cells",NA,0,130,714,"B1"
"f328","B_cells",NA,0,130,85,"B2"
"f329","B_cells",NA,0,130,987,"B2"
"f330","B_cells",NA,0,130,93,"B2"
"f331","B_cells",NA,0,130,137,"B1"
"f332","B_cells",NA,0,130,24,"B1"
"f333","B_cells",NA,0,130,46,"B2"
"f334","B_cells",NA,0,130,44,"B1"
"f335","B_cells",NA,0,130,24,"B2"
"f336","B_cells",NA,0,130,58,"B2"
"f337","B_cells",NA,0,130,68,"B2"
"f338","B_cells",NA,0,130,42,"B2"
"f339","B_cells",NA,0,130,30,"B1"
"f340","B_cells",NA,0,130,20,"B1"
"f341","B_cells",NA,0,130,20,"B1"
"f342","B_cells",NA,0,130,20,"B2"
"f343","B_cells",NA,0,130,259,"B2"
"f344","B_cells",NA,0,130,41,"B1"
"f345","B_cells",NA,0,130,31,"B2"
"f346","B_cells",NA,0,130,501,"B2"
"f347","B_cells",NA,0,130,27,"B2"
"f348","B_cells",NA,0,130,106,"B2"
"f349","B_cells",NA,0,130,52,"B2"
"f350","B_cells",NA,0,130,422,"B1"
"f351","B_cells",NA,0,130,23,"B2"
"f352","B_cells",NA,0,130,21,"B1"
"f353","B_cells",NA,0,130,124,"B2"
"f354","B_cells",NA,0,130,61,"B1"
"f355","B_cells",NA,0,130,480,"B2"
"f356","B_cells",NA,0,130,209,"B2"
"f357","B_cells",NA,0,130,87,"B1"
"f358","B_cells",NA,0,130,115,"B2"
"f359","B_cells",NA,0,130,49,"B1"
"f360","B_cells",NA,0,130,98,"B2"
"f361","B_cells",NA,0,130,49,"B2"
"f362","B_cells",NA,0,130,79,"B2"
"f363","B_cells",NA,0,130,299,"B1"
"f364","B_cells",NA,0,130,664,"B2"
"f365","B_cells",NA,0,130,28,"B1"
"f366","B_cells",NA,0,130,725,"B1"
"f367","B_cells",NA,0,130,1900,"B1"
"f368","B_cells",NA,0,130,54,"B1"
"f369","B_cells",NA,0,130,78,"B2"
"f370","B_cells",NA,0,130,50,"B1"
"f371","B_cells",NA,0,130,100,"B2"
"f372","B_cells",NA,0,130,207,"B1"
"f373","B_cells",NA,0,130,24,"B1"
"f374","B_cells",NA,0,130,2610,"B1"
"f375","B_cells",NA,0,130,22,"B2"
"f376","B_cells",NA,0,130,22,"B2"
"f377","B_cells",NA,0,130,75,"B2"
"f378","B_cells",NA,0,130,42,"B1"
"f379","B_cells",NA,0,130,238,"B1"
"f380","B_cells",NA,0,130,1074,"B1"
"f381","B_cells",NA,0,130,272,"B1"
"f382","B_cells",NA,0,130,47,"B1"
"f383","B_cells",NA,0,130,224,"B2"
"f384","B_cells",NA,0,130,65,"B2"
"f385","B_cells",NA,0,130,2561,"B2"
"f386","B_cells",NA,0,130,223,"B2"
"f387","B_cells",NA,0,130,106,"B2"
"f388","B_cells",NA,0,130,111,"B1"
"f389","B_cells",NA,0,130,50,"B1"
"f390","B_cells",NA,0,130,25,"B1"
"f391","B_cells",NA,0,130,41,"B2"
"f392","B_cells",NA,0,130,1238,"B1"
"f393","B_cells",NA,0,130,55,"B2"
"f394","B_cells",NA,0,130,23,"B1"
"f395","B_cells",NA,0,130,1302,"B1"
"f396","B_cells",NA,0,130,30,"B2"
"f397","B_cells",NA,0,130,30,"B2"
"f398","B_cells",NA,0,130,58,"B1"
"f399","B_cells",NA,0,130,188,"B1"
