"founder","celltype","log2fc","n_cells","type_n","founder_n","blast"
"f328","B_cells",NA,0,120,32,"Blastomere B"
"f329","B_cells",NA,0,120,258,"Blastomere A"
"f330","B_cells",NA,0,120,22,"Blastomere A"
"f331","B_cells",NA,0,120,28,"Blastomere A"
"f332","B_cells",NA,0,120,28,"Blastomere A"
"f333","B_cells",NA,0,120,54,"Blastomere A"
"f334","B_cells",NA,0,120,22,"Blastomere B"
"f335","B_cells",NA,0,120,71,"Blastomere A"
"f336","B_cells",NA,0,120,142,"Blastomere A"
"f337","B_cells",NA,0,120,63,"Blastomere A"
"f338","B_cells",NA,0,120,51,"Blastomere A"
"f339","B_cells",NA,0,120,94,"Blastomere B"
"f340","B_cells",NA,0,120,80,"Blastomere A"
"f341","B_cells",NA,0,120,721,"Blastomere A"
"f342","B_cells",NA,0,120,74,"Blastomere A"
"f343","B_cells",NA,0,120,1405,"Blastomere A"
"f344","B_cells",NA,0,120,107,"Blastomere A"
"f345","B_cells",NA,0,120,35,"Blastomere A"
"f346","B_cells",NA,0,120,33,"Blastomere B"
"f347","B_cells",NA,0,120,31,"Blastomere A"
"f348","B_cells",NA,0,120,302,"Blastomere B"
"f349","B_cells",NA,0,120,29,"Blastomere A"
"f350","B_cells",NA,0,120,989,"Blastomere A"
"f351","B_cells",NA,0,120,27,"Blastomere A"
"f352","B_cells",NA,0,120,163,"Blastomere A"
"f353","B_cells",NA,0,120,92,"Blastomere B"
"f354","B_cells",NA,0,120,713,"Blastomere A"
"f355","B_cells",NA,0,120,67,"Blastomere A"
"f356","B_cells",NA,0,120,21,"Blastomere B"
"f357","B_cells",NA,0,120,38,"Blastomere B"
"f358","B_cells",NA,0,120,57,"Blastomere A"
"f359","B_cells",NA,0,120,70,"Blastomere A"
"f360","B_cells",NA,0,120,34,"Blastomere A"
"f361","B_cells",NA,0,120,34,"Blastomere B"
"f362","B_cells",NA,0,120,79,"Blastomere A"
"f363","B_cells",NA,0,120,94,"Blastomere A"
"f364","B_cells",NA,0,120,94,"Blastomere A"
"f365","B_cells",NA,0,120,30,"Blastomere A"
"f366","B_cells",NA,0,120,43,"Blastomere B"
"f367","B_cells",NA,0,120,28,"Blastomere A"
"f368","B_cells",NA,0,120,97,"Blastomere B"
"f369","B_cells",NA,0,120,453,"Blastomere B"
"f370","B_cells",NA,0,120,41,"Blastomere A"
"f371","B_cells",NA,0,120,106,"Blastomere A"
"f372","B_cells",NA,0,120,165,"Blastomere B"
"f373","B_cells",NA,0,120,100,"Blastomere B"
"f374","B_cells",NA,0,120,24,"Blastomere A"
"f375","B_cells",NA,0,120,312,"Blastomere B"
"f376","B_cells",NA,0,120,1219,"Blastomere B"
"f377","B_cells",NA,0,120,35,"Blastomere B"
"f378","B_cells",NA,0,120,46,"Blastomere B"
"f379","B_cells",NA,0,120,77,"Blastomere A"
"f380","B_cells",NA,0,120,62,"Blastomere B"
"f381","B_cells",NA,0,120,202,"Blastomere A"
"f382","B_cells",NA,0,120,29,"Blastomere A"
"f383","B_cells",NA,0,120,29,"Blastomere A"
"f384","B_cells",NA,0,120,29,"Blastomere B"
"f385","B_cells",NA,0,120,85,"Blastomere A"
"f386","B_cells",NA,0,120,61,"Blastomere A"
"f387","B_cells",NA,0,120,52,"Blastomere A"
"f388","B_cells",NA,0,120,25,"Blastomere B"
"f389","B_cells",NA,0,120,485,"Blastomere B"
"f390","B_cells",NA,0,120,222,"Blastomere B"
"f391","B_cells",NA,0,120,200,"Blastomere A"
"f392","B_cells",NA,0,120,37,"Blastomere B"
"f393","B_cells",NA,0,120,44,"Blastomere A"
"f394","B_cells",NA,0,120,28,"Blastomere A"
"f395","B_cells",NA,0,120,26,"Blastomere B"
"f396","B_cells",NA,0,120,104,"Blastomere B"
"f397","B_cells",NA,0,120,31,"Blastomere A"
"f398","B_cells",NA,0,120,105,"Blastomere A"
"f399","B_cells",NA,0,120,36,"Blastomere A"
"f400","B_cells",NA,0,120,245,"Blastomere A"
"f401","B_cells",NA,0,120,285,"Blastomere A"
"f402","B_cells",NA,0,120,58,"Blastomere A"
"f403","B_cells",NA,0,120,29,"Blastomere B"
"f404","B_cells",NA,0,120,46,"Blastomere B"
"f405","B_cells",NA,0,120,287,"Blastomere A"
"f406","B_cells",NA,0,120,32,"Blastomere B"
"f407","B_cells",NA,0,120,42,"Blastomere B"
"f408","B_cells",NA,0,120,52,"Blastomere B"
"f409","B_cells",NA,0,120,227,"Blastomere A"
"f410","B_cells",NA,0,120,40,"Blastomere A"
"f411","B_cells",NA,0,120,40,"Blastomere B"
"f412","B_cells",NA,0,120,45,"Blastomere A"
"f413","B_cells",NA,0,120,50,"Blastomere A"
"f414","B_cells",NA,0,120,50,"Blastomere A"
"f415","B_cells",NA,0,120,63,"Blastomere B"
"f416","B_cells",NA,0,120,76,"Blastomere A"
"f417","B_cells",NA,0,120,71,"Blastomere B"
"f418","B_cells",NA,0,120,28,"Blastomere B"
"f419","B_cells",NA,0,120,56,"Blastomere B"
"f420","B_cells",NA,0,120,69,"Blastomere A"
"f421","B_cells",NA,0,120,105,"Blastomere B"
"f422","B_cells",NA,0,120,41,"Blastomere B"
"f423","B_cells",NA,0,120,26,"Blastomere A"
"f424","B_cells",NA,0,120,78,"Blastomere B"
"f425","B_cells",NA,0,120,86,"Blastomere B"
"f426","B_cells",NA,0,120,68,"Blastomere B"
"f427","B_cells",NA,0,120,330,"Blastomere A"
"f428","B_cells",NA,0,120,42,"Blastomere A"
"f429","B_cells",NA,0,120,84,"Blastomere B"
"f430","B_cells",NA,0,120,87,"Blastomere A"
"f431","B_cells",NA,0,120,37,"Blastomere A"
"f432","B_cells",NA,0,120,45,"Blastomere A"
"f433","B_cells",NA,0,120,82,"Blastomere A"
"f434","B_cells",NA,0,120,74,"Blastomere A"
"f435","B_cells",NA,0,120,44,"Blastomere A"
"f436","B_cells",NA,0,120,33,"Blastomere B"
"f437","B_cells",NA,0,120,47,"Blastomere A"
"f438","B_cells",NA,0,120,108,"Blastomere B"
"f439","B_cells",NA,0,120,48,"Blastomere B"
"f440","B_cells",NA,0,120,78,"Blastomere B"
"f441","B_cells",NA,0,120,51,"Blastomere B"
"f442","B_cells",NA,0,120,45,"Blastomere B"
"f443","B_cells",NA,0,120,68,"Blastomere A"
"f444","B_cells",NA,0,120,48,"Blastomere A"
"f445","B_cells",NA,0,120,38,"Blastomere B"
"f446","B_cells",NA,0,120,51,"Blastomere A"
"f447","B_cells",NA,0,120,24,"Blastomere B"
"f448","B_cells",NA,0,120,13,"Blastomere B"
"f449","B_cells",NA,0,120,13,"Blastomere B"
"f450","B_cells",NA,0,120,16,"Blastomere A"
"f451","B_cells",NA,0,120,19,"Blastomere B"
"f452","B_cells",NA,0,120,20,"Blastomere A"
"f453","B_cells",NA,0,120,14,"Blastomere A"
"f454","B_cells",NA,0,120,27,"Blastomere A"
"f455","B_cells",NA,0,120,20,"Blastomere A"
"f456","B_cells",NA,0,120,15,"Blastomere A"
"f457","B_cells",NA,0,120,12,"Blastomere A"
"f458","B_cells",NA,0,120,27,"Blastomere A"
"f459","B_cells",NA,0,120,14,"Blastomere A"
"f460","B_cells",NA,0,120,21,"Blastomere A"
"f461","B_cells",NA,0,120,14,"Blastomere A"
"f462","B_cells",NA,0,120,33,"Blastomere A"
"f463","B_cells",NA,0,120,12,"Blastomere B"
"f464","B_cells",NA,0,120,14,"Blastomere A"
"f465","B_cells",NA,0,120,26,"Blastomere A"
"f466","B_cells",NA,0,120,14,"Blastomere A"
"f467","B_cells",NA,0,120,12,"Blastomere A"
"f468","B_cells",NA,0,120,31,"Blastomere A"
"f469","B_cells",NA,0,120,13,"Blastomere A"
"f470","B_cells",NA,0,120,10,"Blastomere A"
"f471","B_cells",NA,0,120,14,"Blastomere A"
"f472","B_cells",NA,0,120,12,"Blastomere B"
"f473","B_cells",NA,0,120,10,"Blastomere B"
"f474","B_cells",NA,0,120,31,"Blastomere A"
"f475","B_cells",NA,0,120,37,"Blastomere A"
"f476","B_cells",NA,0,120,81,"Blastomere A"
"f477","B_cells",NA,0,120,16,"Blastomere A"
"f478","B_cells",NA,0,120,11,"Blastomere A"
